user_id	asin
A1098Z3D7ENJ2F	0615849601
A1098Z3D7ENJ2F	1682304302
A1098Z3D7ENJ2F	1497572207
A1098Z3D7ENJ2F	1942832079
A1098Z3D7ENJ2F	0349413401
A1098Z3D7ENJ2F	0062294776
A1098Z3D7ENJ2F	1490946810
A1098Z3D7ENJ2F	0451473922
A1098Z3D7ENJ2F	1480568112
A1098Z3D7ENJ2F	1494563258
A1098Z3D7ENJ2F	1626818800
A1098Z3D7ENJ2F	0425266060
A1098Z3D7ENJ2F	1682307549
A1098Z3D7ENJ2F	1494557223
A1098Z3D7ENJ2F	1477829113
A1098Z3D7ENJ2F	1476746559
A1098Z3D7ENJ2F	1492740357
A1098Z3D7ENJ2F	0451468279
A1098Z3D7ENJ2F	1942834357
A1098Z3D7ENJ2F	1938404963
A1098Z3D7ENJ2F	1538745194
A1098Z3D7ENJ2F	1944475079
A1098Z3D7ENJ2F	1497497132
A1098Z3D7ENJ2F	1494558084
A1098Z3D7ENJ2F	1682307530
A1098Z3D7ENJ2F	1515956326
A1098Z3D7ENJ2F	1536855081
A1098Z3D7ENJ2F	0399178597
A1098Z3D7ENJ2F	1940883490
A1098Z3D7ENJ2F	1530825318
A1098Z3D7ENJ2F	1494724693
A1098Z3D7ENJ2F	0986416703
A1098Z3D7ENJ2F	1939962315
A1098Z3D7ENJ2F	1630350184
A1098Z3D7ENJ2F	1500305219
A1098Z3D7ENJ2F	1499764529
A1098Z3D7ENJ2F	1539495833
A1098Z3D7ENJ2F	0615826814
A1098Z3D7ENJ2F	1942832095
A1098Z3D7ENJ2F	0989450236
A1098Z3D7ENJ2F	1940071143
A1098Z3D7ENJ2F	1497572320
A1098Z3D7ENJ2F	0989740633
A1098Z3D7ENJ2F	1940071542
A1098Z3D7ENJ2F	1530728606
A1098Z3D7ENJ2F	1250150477
A1098Z3D7ENJ2F	1455599204
A1098Z3D7ENJ2F	147674355X
A1098Z3D7ENJ2F	154117562X
A1098Z3D7ENJ2F	1496146239
A1098Z3D7ENJ2F	1499190433
A1098Z3D7ENJ2F	0451468287
A1098Z3D7ENJ2F	0399178600
A1098Z3D7ENJ2F	1455578347
A1098Z3D7ENJ2F	1502446936
A1098Z3D7ENJ2F	1494931451
A1098Z3D7ENJ2F	1506002919
A1098Z3D7ENJ2F	1508536333
A1098Z3D7ENJ2F	1682309827
A1098Z3D7ENJ2F	149236522X
A1098Z3D7ENJ2F	1544104340
A1098Z3D7ENJ2F	1682304507
A1098Z3D7ENJ2F	1682306828
A1098Z3D7ENJ2F	0062434764
A1098Z3D7ENJ2F	061579615X
A1098Z3D7ENJ2F	1477805052
A1098Z3D7ENJ2F	1500863750
A1098Z3D7ENJ2F	1942832141
A1098Z3D7ENJ2F	1497382742
A1098Z3D7ENJ2F	0989450287
A1098Z3D7ENJ2F	148956621X
A1098Z3D7ENJ2F	0062389718
A1098Z3D7ENJ2F	0399178589
A1098Z3D7ENJ2F	1493643274
A1098Z3D7ENJ2F	1500648051
A1098Z3D7ENJ2F	0062434756
A10QLV8FSTOSSB	1476755590
A10QLV8FSTOSSB	0578141809
A10QLV8FSTOSSB	144235948X
A10QLV8FSTOSSB	1471133524
A10QLV8FSTOSSB	1492976423
A10QLV8FSTOSSB	1489591095
A10QLV8FSTOSSB	0991140273
A10QLV8FSTOSSB	1501102079
A10QLV8FSTOSSB	1506002919
A10QLV8FSTOSSB	1501105795
A10QLV8FSTOSSB	1682307751
A10QLV8FSTOSSB	0989450236
A10QLV8FSTOSSB	0998815527
A10QLV8FSTOSSB	0989104400
A10QLV8FSTOSSB	1501105779
A10QLV8FSTOSSB	1476753164
A10QLV8FSTOSSB	1250063272
A10QLV8FSTOSSB	147674355X
A10QLV8FSTOSSB	0986416703
A10QLV8FSTOSSB	1497572320
A10QLV8FSTOSSB	1501125710
A10QLV8FSTOSSB	1682305031
A10QLV8FSTOSSB	1490339973
A10QLV8FSTOSSB	0989450252
A10QLV8FSTOSSB	0997869194
A10QLV8FSTOSSB	0991140230
A10QLV8FSTOSSB	148234873X
A10QLV8FSTOSSB	1250064198
A10QLV8FSTOSSB	1539082423
A10QLV8FSTOSSB	148398527X
A10QLV8FSTOSSB	1493649779
A10QLV8FSTOSSB	1501110365
A10QLV8FSTOSSB	1476746559
A10QLV8FSTOSSB	1942444087
A11DGICZ5FHOSY	1492103748
A11DGICZ5FHOSY	1482658143
A11DGICZ5FHOSY	0578141809
A11DGICZ5FHOSY	0984887873
A11DGICZ5FHOSY	1492976423
A11DGICZ5FHOSY	1942215754
A11DGICZ5FHOSY	1402244428
A11DGICZ5FHOSY	1492131016
A11DGICZ5FHOSY	0615680046
A11DGICZ5FHOSY	1455548987
A11DGICZ5FHOSY	1508941297
A11DGICZ5FHOSY	147674355X
A11DGICZ5FHOSY	1476761779
A11DGICZ5FHOSY	1502446936
A11DGICZ5FHOSY	1936413795
A11DGICZ5FHOSY	1507548095
A11DGICZ5FHOSY	0989104400
A11DGICZ5FHOSY	1476753164
A11DGICZ5FHOSY	1682307921
A11DGICZ5FHOSY	1496146239
A11DGICZ5FHOSY	1476753180
A11LLWNATMHTZP	0692208879
A11LLWNATMHTZP	0615766412
A11LLWNATMHTZP	0615764037
A11LLWNATMHTZP	1502446936
A11LLWNATMHTZP	1483966763
A11LLWNATMHTZP	1495327515
A11LLWNATMHTZP	1493511459
A11LLWNATMHTZP	149236522X
A11LLWNATMHTZP	145553322X
A11LLWNATMHTZP	1455599204
A11LLWNATMHTZP	1508536333
A11LLWNATMHTZP	0692374035
A11LLWNATMHTZP	1455534188
A11LLWNATMHTZP	0425286517
A11LLWNATMHTZP	1455533254
A11LLWNATMHTZP	0425272346
A11LLWNATMHTZP	1455599050
A11LLWNATMHTZP	1250052378
A11LLWNATMHTZP	1494557223
A11LLWNATMHTZP	1497497132
A11LLWNATMHTZP	069232366X
A11LLWNATMHTZP	0425272354
A11LLWNATMHTZP	0692467459
A11LLWNATMHTZP	0007579098
A11LLWNATMHTZP	1419970291
